ofac_id,uk_id,explanation
7862,7582,ofac_id: 7862 has a jaccard distance of 0.0 with uk_id: 7582 from the name column
7863,7623,ofac_id: 7863 has a jaccard distance of 0.0 with uk_id: 7623 from the name column
7864,7624,ofac_id: 7864 has a jaccard distance of 0.0 with uk_id: 7624 from the name column
7865,7607,ofac_id: 7865 has a jaccard distance of 0.0 with uk_id: 7607 from the name column
7866,7617,ofac_id: 7866 has a jaccard distance of 0.0 with uk_id: 7617 from the name column
7867,7603,ofac_id: 7867 has a jaccard distance of 0.0 with uk_id: 7603 from the name column
7868,7625,ofac_id: 7868 has a jaccard distance of 0.0 with uk_id: 7625 from the name column
7869,7596,ofac_id: 7869 has a jaccard distance of 0.12 with uk_id: 7596 from the name column
7870,7578,ofac_id: 7870 has a jaccard distance of 0.0 with uk_id: 7578 from the name column
7871,7576,ofac_id: 7871 has a jaccard distance of 0.15000000000000002 with uk_id: 7576 from the name column
7872,7590,ofac_id: 7872 has a jaccard distance of 0.0 with uk_id: 7590 from the name column
7876,7600,ofac_id: 7876 has a jaccard distance of 0.0 with uk_id: 7600 from the name column
7878,7610,ofac_id: 7878 has a jaccard distance of 0.0 with uk_id: 7610 from the name column
7879,7611,ofac_id: 7879 has a jaccard distance of 0.0 with uk_id: 7611 from the name column
7880,7608,ofac_id: 7880 has a jaccard distance of 0.0 with uk_id: 7608 from the name column
7881,7602,ofac_id: 7881 has a jaccard distance of 0.0 with uk_id: 7602 from the name column
7882,7593,ofac_id: 7882 has a jaccard distance of 0.1875 with uk_id: 7593 from the name column
7883,7594,ofac_id: 7883 has a jaccard distance of 0.0 with uk_id: 7594 from the name column
7884,7587,ofac_id: 7884 has a jaccard distance of 0.0 with uk_id: 7587 from the name column
7885,7574,ofac_id: 7885 has a jaccard distance of 0.0 with uk_id: 7574 from the name column
7886,7599,ofac_id: 7886 has a jaccard distance of 0.0 with uk_id: 7599 from the name column
7887,7604,ofac_id: 7887 has a jaccard distance of 0.0 with uk_id: 7604 from the name column
7888,7585,ofac_id: 7888 has a jaccard distance of 0.0 with uk_id: 7585 from the name column
7889,7605,ofac_id: 7889 has a jaccard distance of 0.0 with uk_id: 7605 from the name column
7890,7583,ofac_id: 7890 has a jaccard distance of 0.0 with uk_id: 7583 from the name column
7891,7616,ofac_id: 7891 has a jaccard distance of 0.2222222222222222 with uk_id: 7616 from the name column
7893,7598,ofac_id: 7893 has a jaccard distance of 0.0 with uk_id: 7598 from the name column
7894,7618,ofac_id: 7894 has a jaccard distance of 0.0 with uk_id: 7618 from the name column
7895,7577,ofac_id: 7895 has a jaccard distance of 0.09523809523809523 with uk_id: 7577 from the name column
7896,7586,ofac_id: 7896 has a jaccard distance of 0.0 with uk_id: 7586 from the name column
7897,7581,ofac_id: 7897 has a jaccard distance of 0.13793103448275867 with uk_id: 7581 from the name column
7913,7886,ofac_id: 7913 has a jaccard distance of 0.0 with uk_id: 7886 from the name column
7914,7887,ofac_id: 7914 has a jaccard distance of 0.0 with uk_id: 7887 from the name column
7921,7842,ofac_id: 7921 has a jaccard distance of 0.0 with uk_id: 7842 from the name column
7923,7854,ofac_id: 7923 has a jaccard distance of 0.08333333333333337 with uk_id: 7854 from the name column
7924,7840,ofac_id: 7924 has a jaccard distance of 0.0 with uk_id: 7840 from the name column
7925,7843,ofac_id: 7925 has a jaccard distance of 0.0 with uk_id: 7843 from the name column
7927,7838,ofac_id: 7927 has a jaccard distance of 0.0 with uk_id: 7838 from the name column
7928,7834,ofac_id: 7928 has a jaccard distance of 0.0 with uk_id: 7834 from the name column
7936,7848,ofac_id: 7936 has a jaccard distance of 0.0 with uk_id: 7848 from the name column
7944,7860,ofac_id: 7944 has a jaccard distance of 0.0 with uk_id: 7860 from the name column
7946,8703,ofac_id: 7946 has a jaccard distance of 0.03703703703703709 with uk_id: 8703 from the name column
8084,7881,ofac_id: 8084 has a jaccard distance of 0.0 with uk_id: 7881 from the name column
8087,7997,ofac_id: 8087 has a jaccard distance of 0.0 with uk_id: 7997 from the name column
8092,7866,ofac_id: 8092 has a jaccard distance of 0.125 with uk_id: 7866 from the name column
8094,7865,ofac_id: 8094 has a jaccard distance of 0.0 with uk_id: 7865 from the name column
8098,7868,ofac_id: 8098 has a jaccard distance of 0.0 with uk_id: 7868 from the name column
8100,7875,ofac_id: 8100 has a jaccard distance of 0.18181818181818177 with uk_id: 7875 from the name column
8104,7890,ofac_id: 8104 has a jaccard distance of 0.0 with uk_id: 7890 from the name column
8106,7996,ofac_id: 8106 has a jaccard distance of 0.1428571428571429 with uk_id: 7996 from the name column
8183,8244,ofac_id: 8183 has a jaccard distance of 0.19999999999999996 with uk_id: 8244 from the name column
8184,8245,ofac_id: 8184 has a jaccard distance of 0.0 with uk_id: 8245 from the name column
8185,8246,ofac_id: 8185 has a jaccard distance of 0.0 with uk_id: 8246 from the name column
8186,8248,ofac_id: 8186 has a jaccard distance of 0.0 with uk_id: 8248 from the name column
8187,8247,ofac_id: 8187 has a jaccard distance of 0.0 with uk_id: 8247 from the name column
8188,8249,ofac_id: 8188 has a jaccard distance of 0.0 with uk_id: 8249 from the name column
8189,8250,ofac_id: 8189 has a jaccard distance of 0.0 with uk_id: 8250 from the name column
8190,8251,ofac_id: 8190 has a jaccard distance of 0.0 with uk_id: 8251 from the name column
8191,8252,ofac_id: 8191 has a jaccard distance of 0.0 with uk_id: 8252 from the name column
8192,8253,ofac_id: 8192 has a jaccard distance of 0.0 with uk_id: 8253 from the name column
8193,8254,ofac_id: 8193 has a jaccard distance of 0.0 with uk_id: 8254 from the name column
8194,8255,ofac_id: 8194 has a jaccard distance of 0.0 with uk_id: 8255 from the name column
8195,8256,ofac_id: 8195 has a jaccard distance of 0.0 with uk_id: 8256 from the name column
8196,8257,ofac_id: 8196 has a jaccard distance of 0.0 with uk_id: 8257 from the name column
8197,8258,ofac_id: 8197 has a jaccard distance of 0.0 with uk_id: 8258 from the name column
8198,8259,ofac_id: 8198 has a jaccard distance of 0.0 with uk_id: 8259 from the name column
8210,8276,ofac_id: 8210 has a jaccard distance of 0.0357142857142857 with uk_id: 8276 from the name column
8211,8277,ofac_id: 8211 has a jaccard distance of 0.2432432432432432 with uk_id: 8277 from the name column
8213,8282,ofac_id: 8213 has a jaccard distance of 0.0 with uk_id: 8282 from the name column
8214,8283,ofac_id: 8214 has a jaccard distance of 0.0714285714285714 with uk_id: 8283 from the name column
8215,8287,ofac_id: 8215 has a jaccard distance of 0.17647058823529416 with uk_id: 8287 from the name column
8217,8278,ofac_id: 8217 has a jaccard distance of 0.23529411764705888 with uk_id: 8278 from the name column
8220,8352,ofac_id: 8220 has a jaccard distance of 0.0 with uk_id: 8352 from the name column
8223,8361,ofac_id: 8223 has a jaccard distance of 0.24528301886792447 with uk_id: 8361 from the name column
8225,8360,ofac_id: 8225 has a jaccard distance of 0.11111111111111116 with uk_id: 8360 from the name column
